10,1292572612  5,20055127551e-27
11,3424478231  5,50478980785e-27
13,6492259982  6,16770306093e-27
16,7658975399  6,71677025778e-27
20,3836195628  7,31471704297e-27
23,5404290406  7,96589482226e-27
26,6329253168  8,67504237642e-27
32,0486014902  9,44732034653e-27
35,1568292888  1e-26
40,6015645366  1,08902296226e-26
45,0029248696  1,25535174932e-26
48,3617228266  1,29154966501e-26
54,7149820426  1,40652724211e-26
60,021504645  1,48881078498e-26
66,5246815421  1,62134913131e-26
73,7305896678  1,71620001422e-26
84,2784404098  1,86898122332e-26
102,466525608  2,09405292741e-26
114,741948924  2,28047172215e-26
135,274809564  2,70457335692e-26
151,48064402  2,94534248881e-26
162,790549342  3,11764858264e-26
184,180950117  3,49309081314e-26
223,934626226  4,02659798255e-26
245,659120357  4,3850576628e-26
283,718729929  5,05479682119e-26
352,148781893  6,34554803193e-26
382,351256782  6,71677025778e-26
450,772310673  7,96589482226e-26
553,75811782  9,71973268487e-26
620,113720258  1,08902296226e-25
680,307135986  1,25535174932e-25
785,686187367  1,40652724211e-25
898,131538266  1,62134913131e-25
1058,85052451  1,92287307061e-25
1161,66088199  2,28047172215e-25
1327,88104353  2,55509709035e-25
1517,92390325  2,94534248881e-25
1735,20924087  3,49309081314e-25
1884,12724346  3,91374560198e-25
2176,14279551  4,77542848564e-25
2436,84329113  5,20055127551e-25
2963,18836171  6,91044751492e-25
3422,44454427  8,43190929287e-25
3912,25585049  9,71973268487e-25
4660,35834882  1,25535174932e-24
5272,98915733  1,48881078498e-24
6820,18721559  2,09405292741e-24
7877,42867697  2,62877300559e-24
8642,29703136  3,11764858264e-24
9287,78722402  3,39519089477e-24
9678,12988417  3,5938136638e-24
