78,4759970351  2,39133696239e-26
81,7110331546  2,44539778539e-26
87,1667547195  2,55721351062e-26
92,9867465261  2,67414200583e-26
104,122325605  2,92428312076e-26
109,294042891  3,12712780461e-26
125,385008589  3,41964152821e-26
140,400424555  3,6568470504e-26
161,07107005  3,99891108301e-26
177,469124579  4,27629799149e-26
218,952988459  5,11373082554e-26
249,167404363  5,84777011194e-26
297,635144163  6,99294631516e-26
347,017100877  8,17751518453e-26
370,186905585  8,94244567855e-26
388,573951857  9,14460705548e-26
417,881006029  9,77892830637e-26
479,404111549  1,14354280885e-25
541,169526546  1,30769015567e-25
656,967460647  1,56377676968e-25
718,026298223  1,78824567961e-25
810,53529266  2,09116523131e-25
929,867465261  2,44539778539e-25
1041,22325605  2,73459618688e-25
1147,22637457  3,12712780461e-25
1326,80474971  3,82405624942e-25
1426,87511853  4,18176114755e-25
1718,25540731  5,22933665667e-25
1877,95080185  5,84777011194e-25
2085,92286947  6,83835206662e-25
2335,72146909  7,99673347137e-25
2615,43456904  9,56274388211e-25
3000,49551857  1,1182623143e-24
3305,96495583  1,27878082793e-24
3823,45638403  1,63528040587e-24
4457,82286042  2,13844008852e-24
4755,46492139  2,23622018417e-24
5072,98009065  2,50068075844e-24
5368,14899584  2,79641705226e-24
6011,00886441  3,34404293379e-24
6516,81042848  3,73951719026e-24
7476,25680164  5,0006807121e-24
8105,3529266  5,5920727862e-24
8716,67547195  6,53934093888e-24
9223,85103936  6,83835206662e-24
9526,80702902  7,31269853231e-24
9681,99629872  7,64707140802e-24
